year,cpi,flour_index,pork_index,onion_index,minimum_wage,location,special_menu,restaurant_type,delivery_only,coupon_discount,price
2000,36.44436473389529,39.5622479162712,33.17065141064706,30.4217362680427,1865,Gyeonggi,Ganjjajang,Normal,0,8.6,2800
1973,11.043597736185156,12.683396634507952,10.626395255764614,,231,Gyeonggi,Ganjjajang,Normal,0,2.9,1700
1980,15.622814984491697,14.03448367133545,17.451849170123104,21.881817043473987,326,Seoul,Basic,Normal,0,7.4,1300
2011,61.829747130267585,56.94761929134529,74.46522308065839,66.33169191427476,4320,Daegu,Ganjjajang,Franchise,1,7.7,4850
1981,16.77215728643152,15.112856286594022,15.336770220800787,22.060043331104843,350,Incheon,Ganjjajang,Franchise,0,2.2,2350
1974,11.53485946305258,12.39163427070588,13.812165978963634,17.25497955135712,241,Gwangju,Ganjjajang,Normal,0,14.0,1000
2010,60.54769799178627,63.766272832548275,,,4110,Busan,Basic,Normal,1,1.1,2750
1971,10.127112473533376,11.239953523360835,10.328119220188205,11.884915999017124,211,Seoul,Basic,Normal,0,12.4,1150
2004,42.768995343134854,48.62035764542528,44.15328798276983,43.238298005712615,2840,Gwangju,Ganjjajang,Franchise,0,8.2,3700
1983,17.8427877613661,16.606009583571144,21.540725083727317,24.687439998470428,373,Seoul,Basic,Normal,0,14.3,1400
2017,78.96191888520912,82.40075420652623,72.87254573236521,69.08819559204439,6470,Busan,Ganjjajang,Franchise,0,4.5,6600
2018,83.14093765216744,71.01178530694358,76.62555724322681,74.73814993069847,7530,Seoul,Basic,Franchise,1,0.2,7100
2006,47.62893606296064,53.68394630123632,51.843414482209965,54.893784017525526,3480,Busan,Basic,Normal,0,10.9,2150
1982,17.679334577305358,16.500932124975574,21.241786833855112,17.498131326897223,369,Busan,Ganjjajang,Normal,0,1.7,1350
1978,13.670112855434862,16.055687181747626,15.080691404482804,15.920284464668057,285,Busan,Basic,Normal,0,11.0,300
1985,19.303783952248306,20.992302735908712,20.542617251174633,16.385156328891494,403,Busan,Ganjjajang,Normal,0,9.6,1450
2014,70.9770780263955,57.462057321450224,89.55010754958143,100.42902053722982,5210,Gyeonggi,Basic,Premium,0,0.1,7100
1977,14.031155322883894,13.823114251200979,13.262957418140825,11.06908542232356,293,Daegu,Basic,Normal,0,6.1,50
1980,14.901488180144526,12.491400496130545,14.274319433285456,16.068921089968942,311,Seoul,Basic,Normal,0,11.1,1300
2014,67.24501709660191,77.69851035611799,74.99912457314355,65.8590363311569,5210,Seoul,Ganjjajang,Franchise,1,8.6,6750
2000,37.32972834519791,33.111059229430516,47.23211327838681,41.39216412346581,1865,Gyeonggi,Basic,Normal,0,0.7,1850
1992,26.142842203111325,25.71154975261962,29.315693447001433,18.803188177111966,925,Seoul,Basic,Franchise,1,1.3,2800
2017,81.0588839150729,66.84497601147791,97.62677872552722,87.06734058304323,6470,Gyeonggi,Ganjjajang,Premium,0,2.2,8900
2004,45.38402503949348,42.85077437438225,44.78130455406361,,2840,Seoul,Samseon,Normal,1,14.8,4800
2021,94.08002256369339,108.34763009468287,116.64810563663336,,8720,Gyeonggi,Ganjjajang,Normal,1,13.1,7600
2009,53.262385204807416,62.14137738707016,49.509549738127596,52.77797241032077,4000,Daegu,Basic,Franchise,1,8.7,3250
1989,23.968186995497035,20.039940208715066,23.68174008062283,,600,Seoul,Ganjjajang,Normal,0,7.9,2600
1998,34.13834738658993,30.823450732576962,34.186064849956495,44.24268331353332,1525,Incheon,Ganjjajang,Normal,0,9.9,2100
