car_id,accident_yn,option_count,prev_owners,repair_cost,price
1,0,0.0,1,60.711082776226135,2149
2,1,2.0,3,64.51416733994833,2244
3,1,1.0,1,50.47585691638726,2020
4,0,1.0,1,73.27707804685248,2144
5,0,1.0,3,,1330
6,0,2.0,1,57.08752894297633,2147
7,0,1.0,2,43.63960187988769,1575
8,1,2.0,4,19.586072252457264,2651
9,0,3.0,3,,2092
10,1,4.0,1,54.25716630452208,1725
11,0,2.0,1,35.24464538691798,1441
12,1,2.0,1,27.401594700107456,2663
13,1,3.0,3,63.22865698766503,2480
14,0,3.0,4,17.9752735676607,1697
15,0,2.0,1,55.9928237488761,1680
16,0,,2,,1758
17,0,1.0,3,60.99785772833247,2039
18,0,4.0,1,42.18520451283119,2164
19,0,0.0,1,25.012510310501717,1793
20,0,5.0,1,61.7403847959038,1830
21,0,2.0,1,74.01046183906841,2102
22,0,1.0,3,,1471
23,0,1.0,3,60.138164005857185,1884
24,0,1.0,1,81.63030237463619,1720
25,0,2.0,1,56.7769419288322,2219
26,1,1.0,1,42.06239710244425,2005
27,0,4.0,2,70.81707080126316,1648
28,0,3.0,2,,1852
29,0,0.0,2,,1713
30,0,2.0,2,66.2464238229196,1832
31,0,0.0,1,41.876754730328734,2225
32,0,0.0,1,43.66957971992631,2241
33,0,2.0,4,37.46118728897857,1045
34,1,3.0,1,,2618
35,1,2.0,2,78.06066855053732,1989
36,1,2.0,1,83.24997531567334,2802
37,0,1.0,2,85.89957272289217,1854
38,0,0.0,2,71.80241242355025,1416
39,0,2.0,2,59.32542519546475,1845
40,0,3.0,3,21.354288161337735,2027
41,0,3.0,1,,1595
42,0,3.0,2,,1907
43,0,3.0,1,41.28756842494692,1399
44,1,0.0,2,80.2828894954455,2173
45,0,1.0,1,51.1007163806109,2231
46,0,2.0,3,0.0,2514
47,0,1.0,1,62.80971127337926,1613
48,0,4.0,1,75.32509392356623,2048
49,0,0.0,1,49.02008062718911,2491
50,0,1.0,4,,2235
51,1,4.0,1,16.643449711658256,2254
52,1,1.0,1,22.28871472201261,1562
53,1,2.0,1,,2250
54,1,4.0,1,59.54229455635063,1923
55,0,2.0,1,,1902
56,1,,2,62.77848933497121,2154
57,0,1.0,1,,1594
58,0,2.0,2,54.26091244148772,1710
59,0,1.0,1,62.01454890576298,1404
60,0,3.0,1,12.515320026057417,1603
61,0,3.0,2,49.12733060523969,2437
62,0,1.0,1,,2535
63,1,3.0,1,,2248
64,0,3.0,1,59.975541035053446,2529
65,0,3.0,1,27.006369468841523,1994
66,0,2.0,2,58.33759024007299,2306
67,0,0.0,2,61.18982258417789,1567
68,1,4.0,2,,1824
69,0,1.0,1,27.531614744147905,1537
70,1,2.0,1,19.895315632909053,2192
71,1,2.0,1,55.57807214678024,1925
72,0,1.0,2,44.274575322645966,1680
73,0,2.0,1,108.05300524987442,1342
74,1,6.0,1,,2600
75,1,0.0,2,,1905
76,1,4.0,1,46.54344088647169,1934
77,1,2.0,4,25.638763091211022,1872
78,0,1.0,1,61.277631059091945,2087
79,0,2.0,2,48.41709947458404,1784
80,0,4.0,1,48.4337263314113,1613
81,1,1.0,3,51.888866509973106,1749
82,0,2.0,1,,2094
83,0,2.0,1,15.214887081649564,1805
84,0,5.0,1,66.74046012741863,1539
85,0,1.0,4,33.07111250368155,1734
86,0,0.0,4,47.23935605062745,1301
87,1,2.0,1,75.71809841330578,1891
88,0,1.0,2,85.58897184540228,1733
89,1,0.0,2,15.99011122747217,2024
90,0,1.0,1,,2064
91,0,1.0,1,55.458263703320725,1690
92,1,2.0,4,19.849399476171072,1966
93,1,2.0,1,66.0518272883633,1827
94,0,2.0,1,52.325253548283456,2024
95,1,0.0,1,53.88319191389993,2354
96,0,3.0,1,31.648941633161304,2107
