traveler_id,age,annual_income,travel_style,preferred_continent,last_login_date,device_ppi
user_00001,59.0,17179,Balanced,Europe,2024-11-24,552
user_00002,32.0,8729,Balanced,Europe,2024-08-22,210
user_00003,43.0,13945,Relaxing,America,2024-02-20,497
user_00004,25.0,10711,Relaxing,Asia,2024-08-08,428
user_00005,,10667,Balanced,Europe,2025-08-18,325
user_00006,36.0,7954,Balanced,America,2024-08-17,352
user_00007,,17505,Balanced,America,2024-08-09,361
user_00008,33.0,6041,Adventurous,Asia,2024-02-23,477
user_00009,42.0,10025,Relaxing,America,2024-09-29,585
user_00010,40.0,13678,Balanced,Oceania,2024-07-16,378
user_00011,44.0,18644,Balanced,Europe,2024-05-07,343
user_00012,30.0,7171,Balanced,America,2025-08-26,338
user_00013,34.0,6952,Adventurous,Europe,2024-01-09,405
user_00014,48.0,9268,Relaxing,Oceania,2024-08-14,295
user_00015,42.0,17682,Balanced,Europe,2025-07-11,413
user_00016,71.0,6658,Balanced,Asia,2024-05-13,268
user_00017,50.0,7296,Balanced,Europe,2024-01-16,555
user_00018,,8783,Relaxing,Europe,2024-08-02,517
user_00019,40.0,12102,,Asia,2024-04-21,218
user_00020,58.0,13150,Balanced,America,2024-06-05,515
user_00021,33.0,4595,Relaxing,Asia,2025-02-28,550
user_00022,54.0,12604,Balanced,Europe,2025-03-27,300
user_00023,35.0,11789,Balanced,Europe,2024-11-13,280
user_00024,65.0,13420,Balanced,America,2024-12-25,382
user_00025,38.0,6363,Balanced,America,2025-01-10,217
user_00026,40.0,8668,Adventurous,America,2024-10-22,354
user_00027,61.0,15263,Balanced,Oceania,2024-07-16,540
user_00028,44.0,7761,Balanced,Europe,2025-07-23,328
user_00029,26.0,6626,Relaxing,America,2025-02-01,597
user_00030,34.0,19924,Relaxing,Asia,2025-08-12,514
user_00031,42.0,14316,Relaxing,America,2024-08-29,565
user_00032,59.0,16766,Relaxing,Asia,2025-03-04,360
user_00033,74.0,11247,Balanced,Oceania,2024-01-06,318
user_00034,27.0,6960,Adventurous,Asia,2024-11-13,575
user_00035,27.0,7257,Adventurous,Asia,2024-07-30,531
user_00036,38.0,8612,Balanced,Asia,2024-09-29,372
user_00037,42.0,11261,Balanced,Asia,2024-03-24,352
user_00038,72.0,10268,Balanced,Europe,2024-12-25,598
user_00039,59.0,5643,Relaxing,Europe,2025-01-15,219
user_00040,29.0,14960,Balanced,Oceania,2025-06-23,233
user_00041,51.0,10542,Balanced,Asia,2024-05-20,513
user_00042,56.0,7364,Relaxing,Asia,2025-05-24,259
user_00043,38.0,6760,Balanced,America,2024-06-21,357
user_00044,42.0,8045,Adventurous,Asia,2024-01-20,563
user_00045,48.0,7177,Balanced,America,2025-05-17,596
user_00046,33.0,7411,Relaxing,Europe,2025-07-19,405
user_00047,35.0,17800,Relaxing,Europe,2024-08-14,292
user_00048,42.0,9696,Relaxing,Asia,2024-04-18,417
user_00049,33.0,13671,Relaxing,Asia,2024-11-15,522
user_00050,38.0,8389,Balanced,America,2024-11-03,288
user_00051,34.0,5165,Adventurous,Europe,2024-03-27,372
user_00052,25.0,7683,Adventurous,Oceania,2024-08-15,239
user_00053,24.0,6117,Adventurous,Europe,2024-11-05,402
user_00054,24.0,5274,Balanced,America,2025-01-13,420
user_00055,53.0,10426,Balanced,Oceania,2025-08-05,246
user_00056,18.0,4263,Balanced,Asia,2025-01-19,442
user_00057,40.0,8310,Balanced,America,2024-04-22,287
user_00058,66.0,9741,Balanced,Asia,2024-10-19,356
user_00059,51.0,13285,Balanced,Europe,2024-10-31,361
user_00060,33.0,13617,Relaxing,America,2024-10-17,594
user_00061,58.0,9839,Relaxing,Europe,2024-04-14,219
user_00062,73.0,13581,Relaxing,Asia,2024-10-17,347
user_00063,30.0,3860,,Europe,2025-04-21,400
user_00064,42.0,15014,Balanced,America,2025-06-04,511
user_00065,71.0,9597,Relaxing,Oceania,2024-02-29,350
user_00066,49.0,4582,Relaxing,America,2024-11-07,299
user_00067,71.0,11237,Relaxing,Asia,2024-04-15,446
user_00068,18.0,4938,Balanced,America,2024-03-29,312
user_00069,36.0,7740,Balanced,America,2024-09-24,418
user_00070,20.0,8747,Adventurous,Asia,2025-08-05,543
user_00071,19.0,6232,Adventurous,Asia,2024-04-28,559
user_00072,71.0,11291,Balanced,America,2025-03-20,224
user_00073,59.0,9097,Relaxing,America,2025-03-04,488
user_00074,26.0,4153,Balanced,Asia,2024-12-16,302
user_00075,29.0,7466,Relaxing,Oceania,2024-11-01,278
user_00076,55.0,9518,Balanced,Europe,2024-07-20,584
user_00077,31.0,3568,Adventurous,Oceania,2024-01-23,215
user_00078,48.0,17733,Balanced,Europe,2024-03-30,540
user_00079,60.0,14935,Relaxing,Europe,2025-04-15,258
user_00080,61.0,12566,Relaxing,Asia,2024-04-02,393
user_00081,20.0,3133,Adventurous,America,2024-10-11,324
user_00082,36.0,6134,Balanced,Europe,2024-11-04,586
user_00083,31.0,10926,Balanced,America,2025-06-19,598
user_00084,31.0,15753,Relaxing,Asia,2025-01-10,231
user_00085,53.0,11068,Relaxing,America,2025-05-13,377
