age,salary,experience_years,weekly_study_hours,courses_completed,login_days_past30,membership,device,region,promo_opt_in,num_promo_emails_last3m,churn
,35922993.0,15,4.7,5,23,basic,desktop,서울특별시,1,2,0
33.0,41803885.0,15,6.2,2,27,premium,desktop,경기도,0,3,0
41.0,45766391.0,20,4.6,0,12,basic,mobile,경기도,1,4,0
50.0,65761614.0,29,9.5,4,29,basic,desktop,대전광역시,1,14,0
32.0,32555915.0,10,4.4,3,24,basic,tablet,광주광역시,0,11,1
32.0,8212924.0,2,3.8,4,10,premium,desktop,울산광역시,1,12,0
,14765047.0,5,6.2,5,30,premium,tablet,인천광역시,1,2,0
42.0,8500612.0,10,3.2,3,27,premium,tablet,서울특별시,0,4,0
,56906234.0,12,9.7,6,19,vip,tablet,대구광역시,1,2,0
40.0,47906869.0,2,5.0,3,25,basic,tablet,경기도,0,3,1
30.0,53851748.0,9,5.3,6,21,basic,tablet,경기도,1,4,0
30.0,2543054.0,0,5.3,4,4,basic,desktop,부산광역시,1,0,1
37.0,60005982.0,10,4.4,3,3,basic,desktop,부산광역시,0,5,1
18.0,2274717.0,0,6.3,5,30,premium,desktop,광주광역시,0,3,1
,44550319.0,0,4.2,2,18,premium,tablet,대전광역시,1,1,0
29.0,54448590.0,4,4.2,2,26,basic,mobile,대전광역시,0,5,1
24.0,58005428.0,1,7.9,3,10,premium,desktop,서울특별시,0,2,1
38.0,72394289.0,14,4.0,3,25,premium,desktop,인천광역시,1,5,0
25.0,2217950.0,1,6.7,1,1,premium,desktop,울산광역시,0,1,1
,5958963.0,2,5.0,3,21,basic,tablet,서울특별시,0,15,1
,40114642.0,19,6.7,4,14,premium,desktop,광주광역시,1,1,0
32.0,69929696.0,3,5.3,2,28,premium,tablet,대구광역시,0,0,1
,4634934.0,6,5.2,2,14,premium,desktop,대전광역시,0,1,0
20.0,,0,4.0,3,20,basic,desktop,서울특별시,1,1,1
29.0,54605588.0,7,6.3,4,12,basic,tablet,경기도,1,4,0
,49231462.0,12,,2,4,basic,tablet,광주광역시,1,0,1
,59383768.0,1,6.5,3,20,basic,desktop,울산광역시,1,2,1
38.0,46650926.0,15,6.4,2,24,basic,tablet,경기도,1,2,0
28.0,45391306.0,8,6.6,4,25,basic,tablet,광주광역시,1,4,0
32.0,70536418.0,9,3.6,3,22,basic,tablet,인천광역시,1,2,0
28.0,48519186.0,5,,6,11,basic,mobile,대구광역시,1,0,0
53.0,62396334.0,19,11.2,3,15,vip,tablet,서울특별시,1,3,0
34.0,46619727.0,6,3.3,1,30,basic,tablet,광주광역시,1,1,0
24.0,18333316.0,5,4.5,2,29,basic,mobile,대구광역시,1,4,0
43.0,6608326.0,16,3.1,4,18,basic,tablet,경기도,1,0,0
22.0,40787847.0,4,4.4,5,3,basic,mobile,인천광역시,1,5,1
37.0,6049034.0,7,5.6,4,27,premium,desktop,울산광역시,1,5,0
18.0,2110107.0,0,6.0,3,3,basic,desktop,경기도,1,3,1
,,3,5.0,2,25,premium,desktop,경기도,1,3,0
36.0,63377608.0,3,5.0,2,4,basic,tablet,광주광역시,0,1,1
42.0,9226751.0,9,5.3,7,15,basic,mobile,인천광역시,1,5,0
36.0,933532.0,5,13.2,0,17,premium,desktop,대구광역시,0,2,0
33.0,2961363.0,6,6.9,4,3,vip,tablet,인천광역시,1,5,0
31.0,3203260.0,4,6.7,5,0,basic,desktop,서울특별시,0,19,1
20.0,15836088.0,2,5.1,5,18,premium,desktop,인천광역시,1,1,0
27.0,73826707.0,7,6.6,4,2,premium,desktop,울산광역시,0,0,1
30.0,39725192.0,2,13.9,0,23,basic,tablet,부산광역시,1,19,1
45.0,62017726.0,7,5.6,2,25,premium,mobile,부산광역시,1,1,0
38.0,61481032.0,14,12.6,3,22,premium,mobile,부산광역시,1,0,0
,15367063.0,0,5.7,3,25,basic,mobile,부산광역시,1,4,1
38.0,57480348.0,20,6.1,8,13,vip,mobile,서울특별시,1,5,0
31.0,287511.0,0,7.1,3,10,basic,tablet,경기도,0,5,1
28.0,47668663.0,5,10.4,1,19,basic,tablet,광주광역시,0,16,1
41.0,32664386.0,17,5.4,1,3,basic,tablet,부산광역시,1,0,1
45.0,46960913.0,14,3.3,1,27,premium,desktop,경기도,0,1,0
,64700063.0,6,3.9,2,17,premium,mobile,대전광역시,1,0,0
26.0,11525754.0,8,6.5,4,23,basic,tablet,부산광역시,0,4,1
31.0,15740454.0,2,6.2,1,1,basic,desktop,울산광역시,1,1,1
,3683507.0,13,,4,12,basic,desktop,광주광역시,1,1,0
44.0,30525110.0,19,5.2,4,3,basic,desktop,부산광역시,1,13,1
30.0,12187294.0,3,5.4,3,25,premium,mobile,대전광역시,0,0,1
,52232131.0,3,9.1,2,3,premium,tablet,광주광역시,1,2,1
23.0,46791103.0,2,5.7,2,0,basic,desktop,부산광역시,1,6,1
23.0,1046108.0,4,13.6,4,29,basic,tablet,대전광역시,0,3,1
43.0,1496863.0,24,4.5,5,29,basic,desktop,경기도,0,4,1
48.0,1530513.0,30,3.8,3,23,basic,desktop,광주광역시,1,5,0
34.0,47082627.0,10,11.6,2,28,premium,tablet,광주광역시,0,3,0
45.0,4331755.0,7,6.6,3,29,basic,desktop,대구광역시,1,5,0
,52829466.0,1,3.7,3,20,basic,desktop,인천광역시,1,1,1
28.0,6216134.0,8,4.2,2,21,basic,desktop,광주광역시,1,3,0
,34465939.0,9,5.9,2,10,vip,mobile,부산광역시,1,5,0
50.0,63215883.0,20,11.5,8,5,basic,desktop,서울특별시,1,1,0
,50709481.0,5,4.6,5,5,basic,mobile,광주광역시,1,5,0
50.0,4389338.0,32,4.2,5,20,vip,mobile,부산광역시,1,0,0
,43452277.0,0,11.9,3,25,basic,tablet,경기도,0,0,1
43.0,66075205.0,10,4.6,2,11,premium,mobile,광주광역시,1,2,0
35.0,3590449.0,12,3.3,2,19,premium,desktop,대구광역시,0,5,0
32.0,39808325.0,11,6.7,7,24,basic,mobile,서울특별시,0,5,1
35.0,49819639.0,0,,3,11,basic,tablet,서울특별시,1,0,1
18.0,46406662.0,0,6.7,2,17,basic,tablet,부산광역시,1,2,1
32.0,57337675.0,4,4.2,2,27,premium,desktop,인천광역시,1,0,0
38.0,640446.0,14,3.9,3,24,premium,mobile,울산광역시,0,1,0
49.0,9853241.0,0,4.2,0,25,premium,mobile,대구광역시,1,0,0
29.0,55929608.0,2,12.7,4,23,basic,tablet,인천광역시,1,19,1
26.0,3066046.0,8,4.9,1,16,basic,tablet,서울특별시,1,2,0
29.0,70204118.0,6,5.4,4,29,basic,tablet,울산광역시,0,5,1
44.0,,21,5.5,2,2,vip,tablet,대전광역시,0,0,1
38.0,49887788.0,7,6.5,6,23,premium,tablet,서울특별시,1,5,0
29.0,53250336.0,5,3.4,2,11,basic,mobile,울산광역시,1,1,0
